epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1567,2.28797,2.61416,1.48804,0.40136,0.51805,0.4628,0.17422,1.97714,2.18135,1.35149,0.000551359,0.000551359,0.000551359
2,37.3444,2.23877,2.02665,1.52363,0.48973,0.57143,0.51909,0.19866,1.99936,1.94616,1.44896,0.00107963,0.00107963,0.00107963
3,54.5716,2.22058,1.82225,1.52725,0.59081,0.60829,0.57342,0.22018,2.00951,2.0266,1.52795,0.00158039,0.00158039,0.00158039
4,71.2686,2.21841,1.84463,1.56008,0.3572,0.52957,0.44988,0.18206,2.09246,2.1607,1.5788,0.00154323,0.00154323,0.00154323
5,87.7543,2.20859,1.69803,1.53333,0.61622,0.53812,0.56788,0.21126,1.97656,1.69379,1.4846,0.00150197,0.00150197,0.00150197
6,104.231,2.17059,1.62473,1.52249,0.54509,0.63519,0.6272,0.24641,1.94888,1.49741,1.47595,0.00146071,0.00146071,0.00146071
7,121.641,2.19806,1.57223,1.51865,0.62575,0.60253,0.64169,0.2423,2.05144,1.48528,1.55132,0.00141945,0.00141945,0.00141945
8,138.471,2.1378,1.52565,1.51226,0.65976,0.59224,0.63831,0.2392,1.98908,1.49901,1.50982,0.00137819,0.00137819,0.00137819
9,155.012,2.10693,1.512,1.48845,0.66584,0.68688,0.68474,0.27138,1.94846,1.40109,1.48465,0.00133693,0.00133693,0.00133693
10,171.542,2.1214,1.49869,1.49801,0.63271,0.65668,0.65482,0.26921,1.95744,1.35137,1.51094,0.00129568,0.00129568,0.00129568
11,188.563,2.12403,1.48439,1.49883,0.57983,0.6394,0.62822,0.25386,1.96388,1.40956,1.49324,0.00125442,0.00125442,0.00125442
12,205.056,2.09419,1.44622,1.46811,0.69013,0.6924,0.72788,0.29855,1.90254,1.32029,1.51459,0.00121316,0.00121316,0.00121316
13,221.442,2.06049,1.41714,1.47387,0.63634,0.69816,0.68231,0.29518,1.91165,1.34992,1.49228,0.0011719,0.0011719,0.0011719
14,237.809,2.11004,1.43378,1.49528,0.71331,0.70545,0.72443,0.30957,1.92426,1.2969,1.49624,0.00113064,0.00113064,0.00113064
15,254.661,2.07971,1.38892,1.47556,0.5788,0.6676,0.66528,0.28466,1.94135,1.3227,1.50005,0.00108938,0.00108938,0.00108938
16,271.527,2.04293,1.36076,1.46743,0.63467,0.66859,0.6682,0.29685,1.94478,1.30934,1.49671,0.00104813,0.00104813,0.00104813
17,288.049,2.06446,1.35421,1.45935,0.69212,0.70921,0.72042,0.3046,1.87811,1.2851,1.45955,0.00100687,0.00100687,0.00100687
18,304.737,2.04681,1.33989,1.43463,0.71376,0.71083,0.72455,0.31247,1.89037,1.2798,1.46452,0.00096561,0.00096561,0.00096561
19,321.414,2.07707,1.32564,1.45832,0.74424,0.69598,0.71563,0.31184,1.90782,1.23953,1.46911,0.000924352,0.000924352,0.000924352
20,338.425,2.04008,1.32813,1.42648,0.61907,0.73848,0.72403,0.3103,1.87752,1.26947,1.44067,0.000883093,0.000883093,0.000883093
21,355.911,2.05018,1.34869,1.43801,0.68207,0.7103,0.71608,0.31156,1.8838,1.2558,1.44272,0.000841835,0.000841835,0.000841835
