epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1734,1.98846,1.25554,1.44328,0.68077,0.73886,0.75475,0.32518,1.90215,1.18813,1.51787,0.00165408,0.00165408,0.00165408
2,34.7614,2.06518,1.30217,1.46271,0.68428,0.72504,0.72691,0.31228,1.92297,1.23627,1.52368,0.00164637,0.00164637,0.00164637
3,51.5338,2.06127,1.30807,1.46503,0.68203,0.69086,0.70674,0.30306,1.89802,1.37044,1.4591,0.00162574,0.00162574,0.00162574
4,68.0595,2.06212,1.34411,1.49166,0.70073,0.68233,0.69358,0.29519,1.94475,1.30527,1.51299,0.00160511,0.00160511,0.00160511
5,84.3675,2.05607,1.31307,1.46583,0.71988,0.71659,0.7375,0.30969,1.91744,1.23712,1.49008,0.00158448,0.00158448,0.00158448
6,100.672,2.03879,1.29706,1.46714,0.67842,0.76421,0.7676,0.32627,1.92687,1.23133,1.50881,0.00156385,0.00156385,0.00156385
7,116.962,2.05797,1.29684,1.45761,0.70979,0.72091,0.74181,0.30399,1.97767,1.21324,1.52402,0.00154323,0.00154323,0.00154323
8,133.36,2.02286,1.30372,1.46351,0.66907,0.71851,0.73524,0.29636,1.94223,1.31367,1.51682,0.0015226,0.0015226,0.0015226
9,149.553,2.00763,1.28754,1.45144,0.75475,0.72621,0.76241,0.32926,1.89536,1.18178,1.46337,0.00150197,0.00150197,0.00150197
10,165.795,2.02826,1.26923,1.4482,0.76271,0.73925,0.77541,0.32414,1.94566,1.17633,1.51058,0.00148134,0.00148134,0.00148134
11,181.795,2.04674,1.28492,1.46018,0.69461,0.68203,0.71389,0.30995,1.93022,1.25374,1.4894,0.00146071,0.00146071,0.00146071
12,197.96,2.0123,1.26727,1.431,0.71326,0.71829,0.74496,0.31498,1.90707,1.23183,1.49589,0.00144008,0.00144008,0.00144008
13,214.19,1.986,1.25407,1.45602,0.68775,0.72251,0.71088,0.31577,1.90493,1.22621,1.49544,0.00141945,0.00141945,0.00141945
14,230.396,2.03358,1.28304,1.45842,0.73497,0.73774,0.76463,0.33218,1.89389,1.20282,1.46562,0.00139882,0.00139882,0.00139882
15,246.597,2.01099,1.24942,1.45086,0.79329,0.74194,0.77539,0.34195,1.89679,1.18973,1.46805,0.00137819,0.00137819,0.00137819
16,263.251,1.98156,1.21815,1.4246,0.73298,0.73656,0.74733,0.33807,1.87333,1.16699,1.46037,0.00135756,0.00135756,0.00135756
17,280.323,2.00413,1.22141,1.41885,0.79537,0.74596,0.79823,0.34488,1.89946,1.10849,1.46969,0.00133693,0.00133693,0.00133693
18,297.495,1.99599,1.19694,1.41126,0.79454,0.73003,0.78087,0.35008,1.88557,1.13175,1.47334,0.0013163,0.0013163,0.0013163
19,314.173,2.01884,1.2036,1.44084,0.7369,0.75241,0.76898,0.34342,1.87644,1.10877,1.4743,0.00129568,0.00129568,0.00129568
20,330.582,1.9854,1.19875,1.41734,0.70898,0.72043,0.73792,0.3145,1.91044,1.2097,1.47026,0.00127505,0.00127505,0.00127505
21,347.712,2.01745,1.21898,1.4374,0.65981,0.72312,0.72411,0.32171,1.87739,1.20737,1.44929,0.00125442,0.00125442,0.00125442
22,364.714,1.99732,1.2315,1.43174,0.72991,0.72544,0.74156,0.33029,1.90241,1.21252,1.45564,0.00123379,0.00123379,0.00123379
23,381.733,1.98882,1.16371,1.39889,0.7399,0.74056,0.76204,0.3404,1.87354,1.15231,1.46117,0.00121316,0.00121316,0.00121316
24,398.368,1.97304,1.18782,1.42588,0.76381,0.7619,0.78719,0.35775,1.87696,1.10218,1.46471,0.00119253,0.00119253,0.00119253
25,414.815,1.9704,1.18232,1.42679,0.7577,0.76327,0.79082,0.34987,1.8721,1.08942,1.45795,0.0011719,0.0011719,0.0011719
26,431.188,1.96577,1.17616,1.43798,0.72152,0.77067,0.79337,0.35559,1.86538,1.11637,1.47768,0.00115127,0.00115127,0.00115127
27,448.077,1.97146,1.18132,1.39807,0.73804,0.71053,0.74201,0.33618,1.89313,1.17674,1.457,0.00113064,0.00113064,0.00113064
28,464.613,1.98722,1.19567,1.41434,0.74579,0.7452,0.77906,0.3587,1.86149,1.12854,1.45627,0.00111001,0.00111001,0.00111001
29,481.423,1.94278,1.14601,1.42752,0.80331,0.78879,0.80402,0.35144,1.87898,1.08489,1.46256,0.00108938,0.00108938,0.00108938
30,498.02,1.96725,1.20511,1.45045,0.76129,0.74357,0.7746,0.35503,1.83677,1.07991,1.45279,0.00106876,0.00106876,0.00106876
31,516.049,1.97852,1.1586,1.43192,0.7902,0.78034,0.80925,0.37179,1.85192,1.05865,1.45706,0.00104813,0.00104813,0.00104813
32,533.138,1.95317,1.14078,1.41387,0.78185,0.7692,0.79265,0.34977,1.88595,1.07805,1.47274,0.0010275,0.0010275,0.0010275
33,549.832,1.97698,1.16919,1.43915,0.77346,0.77919,0.80583,0.36125,1.85462,1.04421,1.47763,0.00100687,0.00100687,0.00100687
34,566.541,1.99249,1.14535,1.43744,0.78672,0.74194,0.79848,0.35828,1.87376,1.05537,1.46987,0.000986239,0.000986239,0.000986239
35,583.348,1.93933,1.11065,1.41016,0.78189,0.75096,0.79949,0.37457,1.83914,1.06976,1.43557,0.00096561,0.00096561,0.00096561
36,600.104,1.96631,1.13325,1.39249,0.79166,0.77026,0.80252,0.36106,1.90364,1.06467,1.48925,0.000944981,0.000944981,0.000944981
37,616.943,1.96559,1.11336,1.39931,0.78201,0.74885,0.79396,0.35975,1.87301,1.05104,1.46597,0.000924352,0.000924352,0.000924352
38,633.585,1.94326,1.11827,1.41079,0.80753,0.80645,0.81695,0.36358,1.86402,1.05549,1.45849,0.000903722,0.000903722,0.000903722
39,650.145,1.93474,1.13416,1.39596,0.78968,0.7813,0.78888,0.36184,1.87619,1.07,1.46957,0.000883093,0.000883093,0.000883093
40,666.335,1.9668,1.11036,1.40808,0.78126,0.75614,0.80649,0.36715,1.84675,1.02365,1.46016,0.000862464,0.000862464,0.000862464
41,682.636,1.92668,1.14975,1.40841,0.80498,0.77485,0.8114,0.37534,1.82779,1.07763,1.43306,0.000841835,0.000841835,0.000841835
42,699.496,1.92588,1.12965,1.4012,0.81188,0.76882,0.80742,0.3679,1.86417,1.06334,1.45435,0.000821206,0.000821206,0.000821206
43,716.516,1.95745,1.11652,1.397,0.79749,0.77131,0.79549,0.37032,1.86534,1.08697,1.46846,0.000800577,0.000800577,0.000800577
44,733.224,1.91103,1.11202,1.39536,0.81179,0.77907,0.81671,0.38278,1.84579,1.04219,1.45102,0.000779948,0.000779948,0.000779948
45,750.027,1.93283,1.10754,1.39481,0.78979,0.77803,0.81935,0.37871,1.85016,1.03195,1.45089,0.000759318,0.000759318,0.000759318
46,766.968,1.9301,1.10602,1.3905,0.81081,0.80956,0.81993,0.37388,1.88631,1.02028,1.48999,0.000738689,0.000738689,0.000738689
