epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1567,2.28797,2.61416,1.48804,0.40136,0.51805,0.4628,0.17422,1.97714,2.18135,1.35149,0.000551359,0.000551359,0.000551359
2,37.3444,2.23877,2.02665,1.52363,0.48973,0.57143,0.51909,0.19866,1.99936,1.94616,1.44896,0.00107963,0.00107963,0.00107963
3,54.5716,2.22058,1.82225,1.52725,0.59081,0.60829,0.57342,0.22018,2.00951,2.0266,1.52795,0.00158039,0.00158039,0.00158039
4,71.2686,2.21841,1.84463,1.56008,0.3572,0.52957,0.44988,0.18206,2.09246,2.1607,1.5788,0.00154323,0.00154323,0.00154323
5,87.7543,2.20859,1.69803,1.53333,0.61622,0.53812,0.56788,0.21126,1.97656,1.69379,1.4846,0.00150197,0.00150197,0.00150197
6,104.231,2.17059,1.62473,1.52249,0.54509,0.63519,0.6272,0.24641,1.94888,1.49741,1.47595,0.00146071,0.00146071,0.00146071
7,121.641,2.19806,1.57223,1.51865,0.62575,0.60253,0.64169,0.2423,2.05144,1.48528,1.55132,0.00141945,0.00141945,0.00141945
8,138.471,2.1378,1.52565,1.51226,0.65976,0.59224,0.63831,0.2392,1.98908,1.49901,1.50982,0.00137819,0.00137819,0.00137819
9,155.012,2.10693,1.512,1.48845,0.66584,0.68688,0.68474,0.27138,1.94846,1.40109,1.48465,0.00133693,0.00133693,0.00133693
10,171.542,2.1214,1.49869,1.49801,0.63271,0.65668,0.65482,0.26921,1.95744,1.35137,1.51094,0.00129568,0.00129568,0.00129568
11,188.563,2.12403,1.48439,1.49883,0.57983,0.6394,0.62822,0.25386,1.96388,1.40956,1.49324,0.00125442,0.00125442,0.00125442
12,205.056,2.09419,1.44622,1.46811,0.69013,0.6924,0.72788,0.29855,1.90254,1.32029,1.51459,0.00121316,0.00121316,0.00121316
13,221.442,2.06049,1.41714,1.47387,0.63634,0.69816,0.68231,0.29518,1.91165,1.34992,1.49228,0.0011719,0.0011719,0.0011719
14,237.809,2.11004,1.43378,1.49528,0.71331,0.70545,0.72443,0.30957,1.92426,1.2969,1.49624,0.00113064,0.00113064,0.00113064
15,254.661,2.07971,1.38892,1.47556,0.5788,0.6676,0.66528,0.28466,1.94135,1.3227,1.50005,0.00108938,0.00108938,0.00108938
16,271.527,2.04293,1.36076,1.46743,0.63467,0.66859,0.6682,0.29685,1.94478,1.30934,1.49671,0.00104813,0.00104813,0.00104813
17,288.049,2.06446,1.35421,1.45935,0.69212,0.70921,0.72042,0.3046,1.87811,1.2851,1.45955,0.00100687,0.00100687,0.00100687
18,304.737,2.04681,1.33989,1.43463,0.71376,0.71083,0.72455,0.31247,1.89037,1.2798,1.46452,0.00096561,0.00096561,0.00096561
19,321.414,2.07707,1.32564,1.45832,0.74424,0.69598,0.71563,0.31184,1.90782,1.23953,1.46911,0.000924352,0.000924352,0.000924352
20,338.425,2.04008,1.32813,1.42648,0.61907,0.73848,0.72403,0.3103,1.87752,1.26947,1.44067,0.000883093,0.000883093,0.000883093
21,355.911,2.05018,1.34869,1.43801,0.68207,0.7103,0.71608,0.31156,1.8838,1.2558,1.44272,0.000841835,0.000841835,0.000841835
22,373.739,2.02731,1.31211,1.44382,0.70607,0.70276,0.71382,0.32302,1.85542,1.2434,1.42276,0.000800577,0.000800577,0.000800577
23,392.05,2.02611,1.26135,1.40877,0.73268,0.73642,0.74596,0.33559,1.8739,1.19941,1.4381,0.000759318,0.000759318,0.000759318
24,408.907,1.99973,1.26256,1.42429,0.73457,0.73373,0.76618,0.33951,1.85198,1.1667,1.43442,0.00071806,0.00071806,0.00071806
25,425.89,2.00414,1.2676,1.43685,0.79337,0.75307,0.78259,0.33547,1.89294,1.17412,1.465,0.000676802,0.000676802,0.000676802
26,442.355,2.00119,1.26676,1.43832,0.7496,0.73425,0.77167,0.34683,1.84149,1.15487,1.45392,0.000635544,0.000635544,0.000635544
27,458.787,1.99525,1.25353,1.40142,0.74712,0.73859,0.78401,0.34729,1.82134,1.16423,1.41656,0.000594286,0.000594286,0.000594286
28,475.926,2.01807,1.24093,1.42457,0.76374,0.74578,0.76842,0.34062,1.86979,1.14711,1.44721,0.000553027,0.000553027,0.000553027
29,492.711,1.95596,1.2266,1.42266,0.77544,0.77688,0.79345,0.34443,1.87291,1.11766,1.44918,0.000511769,0.000511769,0.000511769
30,509.475,1.98339,1.25074,1.43945,0.80435,0.77781,0.80678,0.3595,1.85842,1.11213,1.45499,0.000470511,0.000470511,0.000470511
31,552.909,1.95333,1.18352,1.47607,0.77621,0.75041,0.79378,0.35503,1.88194,1.17342,1.45276,0.000429253,0.000429253,0.000429253
32,569.366,1.93776,1.17792,1.4643,0.77323,0.7704,0.8061,0.36091,1.83057,1.13187,1.42386,0.000387994,0.000387994,0.000387994
33,586.077,1.94297,1.17337,1.43971,0.73228,0.7523,0.78793,0.36053,1.82948,1.12382,1.42286,0.000346736,0.000346736,0.000346736
34,602.366,1.91819,1.14075,1.44782,0.78898,0.79187,0.82561,0.37471,1.82944,1.08636,1.4329,0.000305478,0.000305478,0.000305478
35,618.856,1.91633,1.14182,1.45746,0.78731,0.77945,0.8083,0.37027,1.81377,1.08545,1.41944,0.00026422,0.00026422,0.00026422
36,635.311,1.90314,1.13515,1.45157,0.80295,0.79724,0.81855,0.37435,1.80003,1.06404,1.41657,0.000222961,0.000222961,0.000222961
