epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.3906,1.98846,1.25554,1.44328,0.68077,0.73886,0.75475,0.32518,1.90215,1.18813,1.51787,0.00165408,0.00165408,0.00165408
2,105.02,2.06074,1.30151,1.4584,0.67865,0.71275,0.71392,0.30911,1.90352,1.24532,1.5008,0.00158448,0.00158448,0.00158448
3,133.871,2.04985,1.30321,1.45966,0.69654,0.69819,0.72662,0.30612,1.89286,1.30085,1.45951,0.00150197,0.00150197,0.00150197
4,168.87,2.04708,1.33211,1.47718,0.72344,0.68318,0.69694,0.30184,1.97084,1.3326,1.51836,0.00141945,0.00141945,0.00141945
5,203.77,2.05089,1.28796,1.46401,0.75404,0.74235,0.76095,0.32318,1.90038,1.17447,1.48015,0.00133693,0.00133693,0.00133693
6,239.014,2.0161,1.26334,1.45928,0.74967,0.73886,0.78621,0.33994,1.89164,1.16586,1.47599,0.00125442,0.00125442,0.00125442
7,272.285,2.0339,1.24653,1.44099,0.74973,0.72625,0.76819,0.32988,1.94347,1.16055,1.48958,0.0011719,0.0011719,0.0011719
8,304.494,1.99192,1.24515,1.44961,0.67857,0.74762,0.7491,0.32293,1.89511,1.21298,1.49469,0.00108938,0.00108938,0.00108938
9,332.012,1.97443,1.23148,1.44253,0.72548,0.74654,0.76078,0.3329,1.86886,1.17798,1.45475,0.00100687,0.00100687,0.00100687
10,365.952,1.9863,1.20822,1.42877,0.77429,0.76278,0.79221,0.35106,1.89393,1.11418,1.47996,0.000924352,0.000924352,0.000924352
11,447.558,1.98351,1.21184,1.51779,0.7627,0.73107,0.77436,0.34034,1.87523,1.18774,1.4738,0.000841835,0.000841835,0.000841835
12,463.789,1.94341,1.17859,1.50579,0.73855,0.68817,0.74969,0.34388,1.86596,1.14427,1.43777,0.000759318,0.000759318,0.000759318
13,480.127,1.96338,1.16936,1.51358,0.77081,0.75077,0.78024,0.34789,1.86217,1.09205,1.47163,0.000676802,0.000676802,0.000676802
14,496.429,1.96096,1.13301,1.49465,0.73743,0.73925,0.77716,0.35483,1.84285,1.13037,1.4502,0.000594286,0.000594286,0.000594286
15,512.527,1.91303,1.1388,1.47631,0.7822,0.77227,0.80391,0.37263,1.82849,1.08241,1.44255,0.000511769,0.000511769,0.000511769
16,531.608,1.92979,1.14876,1.47661,0.78163,0.7573,0.80702,0.36477,1.81998,1.08917,1.43466,0.000429253,0.000429253,0.000429253
17,553.642,1.8838,1.10042,1.44684,0.82909,0.78628,0.82509,0.38189,1.83055,1.06701,1.4373,0.000346736,0.000346736,0.000346736
18,574.416,1.88886,1.06964,1.44745,0.80643,0.76075,0.81038,0.37866,1.83053,1.0493,1.44719,0.00026422,0.00026422,0.00026422
19,594.248,1.8791,1.06047,1.43793,0.82216,0.78763,0.83524,0.38184,1.83988,1.046,1.44551,0.000181703,0.000181703,0.000181703
20,610.824,1.84375,1.06253,1.43606,0.81829,0.78867,0.82339,0.38741,1.80185,1.03541,1.41863,9.91865e-05,9.91865e-05,9.91865e-05
